Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter;Impuls oder Aktivität
Das Kind gestaltet Ausstellungen mit und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Präsentation;Förderung der Präsentationsfähigkeit und der Kreativität;5+;Ausstellungen selber gestalten
Das Kind betrachtet Kunst- und Bauwerke und tauscht sich darüber aus.;Ästhetik und Gestaltung;Kunst;Betrachtung;Förderung der Kunstbetrachtung und der Kommunikationsfähigkeit;5+;Zeiten für gemeinsame Betrachtung einräumen
Das Kind nimmt an musikalischen Ritualen teil und zeigt Interesse an deren Bedeutung.;Ästhetik und Gestaltung;Musik;Rituale;Förderung des Interesses an musikalischen Ritualen und der Gemeinschaft;4+;Musikalische Rituale nutzen
Das Kind hört bewusst Musikstücke und tauscht sich darüber aus.;Ästhetik und Gestaltung;Musik;Hören;Förderung des bewussten Hörens und der musikalischen Wahrnehmung;4+;Zeiten zum bewussten Hören einräumen
Das Kind musiziert gemeinsam mit Pädagogen oder Eltern und zeigt Freude an der Musik.;Ästhetik und Gestaltung;Musik;Kooperation;Förderung der Kooperationsfähigkeit und des Interesses an Musik;4+;Gemeinsam musizieren
Das Kind bewegt sich zur Musik und zeigt dabei Rhythmusgefühl.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung des Rhythmusgefühls und der musikalischen Bewegung;3+;Nach Musik bewegen
Das Kind gestaltet Figuren mit dem Körper und lädt andere zum Raten ein.;Ästhetik und Gestaltung;Theaterspiel;Pantomime;Förderung der nonverbalen Kommunikation und der Fantasie;4+;Figuren mit dem Körper gestalten
Das Kind spielt Alltagsszenen nach und zeigt dabei Beobachtungsgabe.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Beobachtungsgabe und der Rollenspielfähigkeit;4+;Alltagsszenen nachspielen
Das Kind baut mit verschiedenen Materialien und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Konstruktion;Förderung der Konstruktionsfähigkeit und der Kreativität;3+;Baustoffe anbieten
Das Kind fügt verschiedene Materialien zusammen und zeigt dabei handwerkliches Geschick.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialbearbeitung;Förderung der handwerklichen Fähigkeiten und der Kreativität;4+;Fügematerialien und Werkzeuge anbieten
Das Kind experimentiert mit Lichtveränderungen und zeigt dabei Neugierde.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Lichteffekte;Förderung der experimentellen Freude und der Neugierde;3+;Lichtveränderungen anregen
Das Kind spielt gemeinsam mit anderen Kindern auf Instrumenten und zeigt dabei Kooperationsfähigkeit.;Ästhetik und Gestaltung;Musik;Kooperation;Förderung der Kooperationsfähigkeit und des musikalischen Zusammenspiels;4+;Instrumente anbieten
Das Kind singt Kreislieder und tanzt und zeigt dabei Freude an der Bewegung.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung der Freude an Bewegung und der musikalischen Interaktion;3+;Kreislieder und -tänze
Das Kind spielt Rhythmusspiele und zeigt dabei Rhythmusgefühl.;Ästhetik und Gestaltung;Musik;Rhythmus;Förderung des Rhythmusgefühls und der musikalischen Interaktion;3+;Rhythmusspiele im Kreis
Das Kind spielt Schattentheater und zeigt dabei Fantasie.;Ästhetik und Gestaltung;Theaterspiel;Schattentheater;Förderung der Fantasie und der Rollenspielfähigkeit;4+;Schattentheater
Das Kind zeigt selbst ausgesuchte Handlungen in Zeitlupe und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Theaterspiel;Zeitlupe;Förderung der Kreativität und der Körperwahrnehmung;4+;>>Zeitlupenauftritte<<
Das Kind schneidet Grimassen und zeigt dabei Freude an der Mimik.;Ästhetik und Gestaltung;Theaterspiel;Mimik;Förderung der Mimik und der sozialen Interaktion;3+;>>Grimassenkreis<<
Das Kind macht eine Fotosafari und dokumentiert seine Umgebung.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Dokumentation;Förderung der Dokumentationsfähigkeit und der Kreativität;5+;Fotosafari durch die Umgebung
Das Kind dokumentiert seinen Lieblingsplatz in der Kita.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Dokumentation;Förderung der Dokumentationsfähigkeit und der Selbstwahrnehmung;5+;Dokumentation des Lieblingsplatzes
Das Kind dokumentiert Experimente mit Wasser, Licht und Schatten.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Dokumentation;Förderung der Dokumentationsfähigkeit und der experimentellen Freude;5+;Experimente dokumentieren
Das Kind erschafft ein Werk mit Künstlerinnen und Künstlern und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Kunst;Kooperation;Förderung der Kooperationsfähigkeit und der künstlerischen Fähigkeiten;5+;Künstler einladen
Das Kind schreibt ein eigenes Lied und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Musik;Kreativität;Förderung der musikalischen Kreativität und der sprachlichen Ausdrucksfähigkeit;5+;Eigenes Lied schreiben
Das Kind macht Tonaufnahmen und dokumentiert einen Tag in der Kita.;Ästhetik und Gestaltung;Musik;Dokumentation;Förderung der Dokumentationsfähigkeit und der auditiven Wahrnehmung;5+;Tonaufnahmen machen
Das Kind baut Instrumente und spielt darauf und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Musik;Instrumentenbau;Förderung der handwerklichen Fähigkeiten und der musikalischen Kreativität;5+;Instrumente selber bauen
Das Kind geht ins Theater und zeigt dabei Interesse an darstellender Kunst.;Ästhetik und Gestaltung;Theaterspiel;Theaterbesuch;Förderung des Interesses an darstellender Kunst;5+;Wir gehen ins Theater
Das Kind entwickelt ein eigenes Urteilsvermögen bei der Bewertung von Kunstwerken.;Ästhetik und Gestaltung;Kunst;Urteilsbildung;Förderung der Urteilsbildung und der Reflexionsfähigkeit;5+;Kunstwerke betrachten und bewerten
Das Kind entwickelt Neugier und Interesse an unbekannten Instrumenten und Musikstücken.;Ästhetik und Gestaltung;Musik;Neugier;Förderung der Neugierde und des Interesses an Musik;4+;Unbekannte Instrumente und Musikstücke vorstellen
Das Kind findet Lieblingsmusik und -lieder für verschiedene Stimmungen und Anlässe.;Ästhetik und Gestaltung;Musik;Musikgeschmack;Förderung der musikalischen Selbstwahrnehmung und des Ausdrucks;4+;Musik für verschiedene Stimmungen auswählen
Das Kind versteht sich als Teil einer künstlerischen Tradition und lernt verschiedene Traditionen kennen.;Ästhetik und Gestaltung;Kunst;Kulturelle Identität;Förderung der kulturellen Identität und des Verständnisses für Vielfalt;5+;Künstlerische Traditionen kennenlernen
Das Kind äußert achtungsvoll Wahrnehmungen, Gefühle und Bewertungen zu verschiedenen Musikkulturen.;Ästhetik und Gestaltung;Musik;Interkulturelle Kompetenz;Förderung der interkulturellen Kompetenz und der Empathie;5+;Musikkulturen kennenlernen und darüber sprechen
Das Kind erlebt Musik und Tanz als Möglichkeiten zur Begegnung mit unbekannten Menschen.;Ästhetik und Gestaltung;Musik;Soziale Interaktion;Förderung der sozialen Interaktion und des Abbaus von Vorurteilen;5+;Gemeinsam musizieren und tanzen
Das Kind erkennt Gemeinsamkeiten und Unterschiede zwischen heutigen und früheren Ausdrucksformen.;Ästhetik und Gestaltung;Kunst;Kunstgeschichte;Förderung des Interesses an Kunstgeschichte und der Reflexionsfähigkeit;5+;Kunstwerke verschiedener Epochen vergleichen
Das Kind macht Erfahrungen mit Licht und Schatten und spielt damit.;Ästhetik und Gestaltung;Kunst;Licht und Schatten;Förderung der Wahrnehmung und des experimentellen Umgangs mit Licht und Schatten;3+;Licht- und Schattenspiele durchführen
"Das Kind macht Erfahrungen mit dem ""Naturschönen"" in Natur und Gärten.";Ästhetik und Gestaltung;Kunst;Naturerfahrung;Förderung der Naturerfahrung und der ästhetischen Wahrnehmung;3+;Naturerkundungen, Gartenbesuche
Das Kind erfasst die Geräuschkulisse einer Großstadt in ihrer Vielfalt.;Ästhetik und Gestaltung;Musik;Geräuschwahrnehmung;Förderung der auditiven Wahrnehmung und der Sensibilität für Geräusche;4+;Geräusche in der Stadt erkunden
Das Kind zeigt Offenheit und Verständnis für verschiedene Musikgenres und -richtungen.;Ästhetik und Gestaltung;Musik;Musikverständnis;Förderung des musikalischen Verständnisses und der Toleranz;4+;Verschiedene Musikgenres und -richtungen kennenlernen
Das Kind möchte Fotos oder Videos von etwas machen.;Ästhetik und Gestaltung;Theaterspiel;Medientechnik;Förderung der Medienkompetenz und des technischen Verständnisses;5+;Aufnahmegeräte und Wiedergabegeräte ausprobieren
Das Kind zeigt Interesse an digitalen Medien und malt gerne.;Ästhetik und Gestaltung;Kunst;Medienkompetenz;Förderung der Medienkompetenz und der Kreativität;5+;Computer für künstlerische Gestaltung nutzen
Das Kind zeigt Neugier und Offenheit für Kunst und Kunstwerke verschiedenster Art.;Ästhetik und Gestaltung;Kunst;Offenheit;Förderung der Neugierde und des Interesses an Kunst;4+;Kunstwerke verschiedener Art betrachten
Das Kind erkennt ob ein Bild alt oder neu ist. ;Ästhetik und Gestaltung;Kunst;Geschichtsbewusstsein;Förderung des Geschichtsbewusstseins und des Zeitverständnisses;5+;Kunstwerke im historischen Kontext betrachten
Das Kind führt für andere Kinder in der Gruppe Theaterstücke oder Fernsehprogramm auf. ;Ästhetik und Gestaltung;Theaterspiel;Ausdauer;Förderung der Ausdauer und der Selbstwirksamkeit;5+;Gemeinsame Aufführungen vorbereiten und durchführen
Das Kind erkennt, dass Musik in Symbole umgesetzt werden kann und so kommuniziert.;Ästhetik und Gestaltung;Musik;Musiknotation;Förderung des Verständnisses für Musiknotation und der musikalischen Kommunikation;5+;Musiknotation kennenlernen
Das Kind singt oder summt gerne beim Spielen oder Bewegen.;Ästhetik und Gestaltung;Musik;Audiotechnik;Förderung des Interesses an Audiotechnik und der experimentellen Freude;5+;Stimm- und Tonveränderungen ausprobieren
Das Kind experimentiert mit verschiedenen Materialien und entdeckt deren Eigenschaften.;Ästhetik und Gestaltung;Kunst;Materialerfahrung;Förderung der Materialerfahrung und der experimentellen Freude;3+;Materialexperimente durchführen
Das Kind experimentiert mit Stiften oder Pinsel.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Gestaltungstechniken;Förderung der gestalterischen Fähigkeiten und der Kreativität;4+;Verschiedene Gestaltungstechniken ausprobieren
Das Kind fragt über einen Stil eines bestimmten Bildes nach. ;Ästhetik und Gestaltung;Kunst;Kunstgeschichte;Förderung des Interesses an Kunstgeschichte und der kulturellen Bildung;5+;Ausstellungen und Museen besuchen
Das Kind lernt verschiedene Musikinstrumente kennen und probiert sie aus.;Ästhetik und Gestaltung;Musik;Instrumentenkunde;Förderung des Interesses an Musikinstrumenten und der musikalischen Bildung;4+;Musikinstrumente kennenlernen und ausprobieren
Das Kind fragt über Tanzstile wie Ballett nach.;Ästhetik und Gestaltung;Musik;Tanzstile;Förderung des Interesses an Tanz und der körperlichen Ausdrucksfähigkeit;4+;Verschiedene Tanzstile kennenlernen und ausprobieren
Das Kind fragt nach dem Sinn von Kunst und Kultur.;Ästhetik und Gestaltung;Kunst;Ästhetik, Kreativität;Entwicklung von ästhetischem Bewusstsein und Kreativität.;5+ Jahre;Museumsbesuch, eigenes Kunstwerk gestalten, Musik aus verschiedenen Kulturen hören.
Das Kind gestaltet aus Naturmaterialien ein eigenes Kunstwerk.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Naturgestaltung;Förderung der Wahrnehmung und kreativen Auseinandersetzung mit natürlichen Materialien;4+ Jahre;Land Art im Garten, Bilder mit Blättern, Natur-Mandalas legen.
Das Kind tanzt frei zur Musik und verändert seinen Rhythmus.;Ästhetik und Gestaltung;Tanz und Bewegung;Kreativer Ausdruck;Förderung der Körperwahrnehmung und Musikalität;3+ Jahre;Musikspiele, freier Tanz mit Tüchern, Stopp-Tanz, Bewegungslandschaft mit Musik.
Das Kind baut aus Alltagsmaterialien ein fantasievolles Objekt.;Ästhetik und Gestaltung;Technisch-Künstlerisches Gestalten;Upcycling;Förderung des kreativen Umgangs mit Materialien und Nachhaltigkeitsbewusstseins;5+ Jahre;Basteln mit Recyclingmaterial, eigene Erfindungen bauen, Fantasieobjekte vorstellen.
Das Kind erfindet einen Tanz zu einem bekannten Lied.;Ästhetik und Gestaltung;Tanz und Bewegung;Choreografie;Förderung von Selbstwirksamkeit und musikalischer Bewegungskompetenz;5+ Jahre;Tanzprojekt, Gruppenchoreografie, Bewegungsabfolge entwickeln.
Das Kind entdeckt verschiedene Muster und ordnet sie in Reihen an.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Mustererkennung;Förderung der ästhetischen Strukturwahrnehmung;4+ Jahre;Musterkarten legen, Ornament-Gestaltung, Reihenfolgen-Memory.
Das Kind gestaltet eine Bühne für ein Puppentheater.;Ästhetik und Gestaltung;Raumgestaltung;Szenisches Gestalten;Förderung von Raumgefühl und Inszenierungskompetenz;5+ Jahre;Bühnenbau, Hintergründe gestalten, Theater spielen.
Das Kind experimentiert mit Farbmischungen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Farblehre;Förderung der Wahrnehmung von Farben und ästhetischem Ausdruck;3+ Jahre;Farbkreis mischen, Fensterbilder gestalten, Farbmonster-Geschichten.
Das Kind spielt einfache Rhythmen auf Trommeln nach.;Ästhetik und Gestaltung;Musik;Rhythmik;Förderung des Rhythmusgefühls und auditiven Wahrnehmung;4+ Jahre;Trommelreise, Bodypercussion, Instrumentenkreis.
Das Kind beobachtet Licht- und Schattenspiele mit Neugier.;Ästhetik und Gestaltung;Raumgestaltung;Lichtgestaltung;Förderung der Wahrnehmung von Licht und Raum;4+ Jahre;Schattenbilder gestalten, Lichtprojektionen, Taschenlampenspiele.
Das Kind gestaltet eine Maske für ein Rollenspiel.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Maskenbau;Förderung der Gestaltungskraft und Ausdrucksstärke;5+ Jahre;Masken basteln, Rollenspiele mit Verkleidung, Faschingsvorbereitung.
Das Kind erkundet unterschiedliche Klanginstrumente.;Ästhetik und Gestaltung;Musik;Instrumentenkunde;Förderung der Differenzierungsfähigkeit von Klängen;3+ Jahre;Klanggeschichten, Instrumente aus aller Welt, Instrumentenkarussell.
Das Kind gestaltet sein eigenes Fantasiewesen mit Ton.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Plastisches Gestalten;Förderung von haptischem Erleben und dreidimensionalem Denken;5+ Jahre;Tonarbeiten, Knetwerkstatt, Skulpturen aus Naturmaterialien.
Das Kind verfolgt mit Aufmerksamkeit eine Theatervorstellung.;Ästhetik und Gestaltung;Darstellendes Spiel;Rezeption von Kunst;Förderung von Konzentration und ästhetischem Erleben;4+ Jahre;Puppentheater besuchen, Theaterkritik malen, Szenen nachspielen.
Das Kind schneidet selbstständig Formen aus und kombiniert sie zu einem Bild.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Collage-Technik;Förderung von Feinmotorik und Kompositionsfähigkeit;4+ Jahre;Papiercollagen gestalten, Formen erkennen und benennen, Bilderrahmen basteln.
Das Kind erfindet einen eigenen Klang mit selbstgebauten Instrumenten.;Ästhetik und Gestaltung;Musik;Klanggestaltung;Förderung der kreativen Klangproduktion;5+ Jahre;Instrumente bauen, Geräuscherätsel, Klanggeschichten erfinden.
Das Kind fotografiert selbstständig besondere Orte im Garten.;Ästhetik und Gestaltung;Mediengestaltung;Fotografie;Förderung des Blicks für Ästhetik und Gestaltung im Alltag;5+ Jahre;Fotowalk, Ausstellung eigener Bilder, Fotobuch gestalten.
Das Kind entwirft ein Muster für ein T-Shirt.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Textilgestaltung;Förderung des kreativen Designs und Farbgefühls;5+ Jahre;Stoffmalerei, Batikversuche, Kleidung gestalten.
Das Kind bewegt sich im Takt zu klassischer Musik.;Ästhetik und Gestaltung;Tanz und Bewegung;Musikalische Ausdrucksbewegung;Förderung des Musikgefühls und kreativen Ausdrucks;4+ Jahre;Musikbewegungsspiele, klassische Musik hören und tanzen, Bewegungsbilder malen.
Das Kind stellt Figuren aus Knete in eine Geschichte.;Ästhetik und Gestaltung;Darstellendes Spiel;Knet-Theater;Förderung des kreativen Erzählens und der Formgestaltung;3+ Jahre;Knetfiguren erschaffen, Geschichten erzählen, Fotostory gestalten.
Das Kind beobachtet Farben im Alltag und benennt sie.;Ästhetik und Gestaltung;Wahrnehmung;Farbwahrnehmung;Förderung der bewussten ästhetischen Wahrnehmung;3+ Jahre;Farbenjagd im Raum, Farbkarten suchen, Farben in der Natur entdecken.
Das Kind gestaltet eine kreative Umrahmung für ein Fenster.;Ästhetik und Gestaltung;Raumgestaltung;Fensterkunst;Förderung der Raumwahrnehmung und Gestaltungslust;4+ Jahre;Fensterbilder gestalten, Naturmotive, Jahreszeitenkunst
Das Kind erkennt wiederkehrende Melodien in Liedern.;Ästhetik und Gestaltung;Musik;Melodieerkennung;Förderung musikalischer Differenzierung und Hörverstehen;4+ Jahre;Melodien-Memory, Liedwiederholung, Rhythmusklatschen.
Das Kind gestaltet eine Szene mit Figuren und Kulisse.;Ästhetik und Gestaltung;Darstellendes Spiel;Szenisches Gestalten;Förderung von szenischer Fantasie und künstlerischem Ausdruck;5+ Jahre;Mini-Theater bauen, Geschichtenszenen entwickeln, Requisiten gestalten.
Das Kind lässt sich von Gemälden zu eigenen Bildern inspirieren.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Kunsterfahrung;Förderung der Kunstwahrnehmung und kreativen Umsetzung;5+ Jahre;Museumsbesuch, Bildbetrachtung, Reproduktion und Variation bekannter Kunst.
Das Kind interessiert sich für Muster auf Kleidung und Stoffen.;Ästhetik und Gestaltung;Wahrnehmung;Textilmuster erkennen;Förderung von Differenzierungsfähigkeit und gestalterischem Interesse;4+ Jahre;Musterreise durchs Haus, Muster nachzeichnen, Stoffe fühlen und sortieren.
Das Kind gestaltet seine eigene Laterne für ein Lichterfest.;Ästhetik und Gestaltung;Lichtgestaltung;Festgestaltung;Förderung kreativer Partizipation an Festen;4+ Jahre;Laternenwerkstatt, Lichtspiele, gemeinsamer Laternenumzug.
Das Kind zeigt Stolz auf seine ausgestellte Arbeit.;Ästhetik und Gestaltung;Präsentation;Kunst zeigen;Förderung des Selbstbewusstseins durch ästhetischen Ausdruck;5+ Jahre;Kinder-Ausstellung organisieren, Werke vorstellen, Kunstgalerie im Gruppenraum.
Das Kind improvisiert mit Bewegungen zu veränderter Musik.;Ästhetik und Gestaltung;Tanz und Bewegung;Improvisation;Förderung des spontanen Ausdrucks und Körperbewusstseins;5+ Jahre;Musikwechsel-Tanz, Tempo-Spiele, Improvisation mit Requisiten.
Das Kind verziert ein Geschenk mit großer Sorgfalt.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Gestalten für andere;Förderung von Wertschätzung und Gestaltung für soziale Anlässe;5+ Jahre;Geschenkwerkstatt, Karten basteln, kreative Verpackungen gestalten.
Das Kind gestaltet ein „Ich-Buch“ mit eigenen Bildern und Zeichnungen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Selbstausdruck;Förderung von Identitätsentwicklung und künstlerischem Ausdruck;4+ Jahre;Ich-Buch-Projekt, Collagearbeit, Selbstporträt malen.
Das Kind tanzt zur Musik und erfindet eigene Bewegungen.;Ästhetik und Gestaltung;Tanz und Bewegung;Freier Ausdruck;Förderung von Körperbewusstsein und Ausdruckskraft;3+ Jahre;Musik anpassen, Ausdruckstanz, Tanzreise mit Musikstopp.
Das Kind vergleicht verschiedene Stoffe nach Struktur und Muster.;Ästhetik und Gestaltung;Wahrnehmung;Materialerkundung;Förderung der taktilen Wahrnehmung und Unterscheidungsfähigkeit;4+ Jahre;Fühl-Memory, Stoffe sortieren, Stoffcollage.
Das Kind singt lautstark mit und bringt eigene Textideen ein.;Ästhetik und Gestaltung;Musik;Liedgestaltung;Förderung der kreativen Sprachgestaltung und Musikalität;5+ Jahre;Liedstrophen erfinden, Klanggeschichten, Auftritt im Kreis.
Das Kind stellt aus gesammelten Naturmaterialien eine Figur her.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Naturmaterialverarbeitung;Förderung von Materialvielfalt und Kreativität;4+ Jahre;Naturwerkstatt, Waldkunst, Figuren aus Ästen und Blättern.
Das Kind zeigt Interesse an Mustern auf Keramik und Porzellan.;Ästhetik und Gestaltung;Wahrnehmung;Designbeobachtung;Förderung des ästhetischen Feingefühls;5+ Jahre;Muster zeichnen, Keramikausstellung besuchen, Design vergleichen.
Das Kind malt mit Schwämmen, Stempeln und Zahnbürsten.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Technikvielfalt;Förderung von Experimentierfreude und Ausdrucksvielfalt;3+ Jahre;Malen mit Alltagsgegenständen, Strukturbild, Putzbild-Galerie.
Das Kind gestaltet ein Kostüm für eine Aufführung.;Ästhetik und Gestaltung;Darstellendes Spiel;Kostümgestaltung;Förderung von szenischer Vorstellungskraft und Gestaltungskompetenz;5+ Jahre;Verkleidungskiste, Modezeichnung, Laufstegspiel.
Das Kind hört gespannt klassische Musik und malt, was es dabei fühlt.;Ästhetik und Gestaltung;Musik;Musikrezeption;Förderung des inneren Bilddenkens und emotionaler Ausdruckskraft;4+ Jahre;Musik-Mal-Geschichten, Hörverstehen mit Farben, Musikreise malen.
Das Kind formt Figuren aus Draht und Wolle.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Dreidimensionales Gestalten;Förderung der Feinmotorik und räumlichen Vorstellungskraft;5+ Jahre;Drahtbiegen, Figurenbau, Mini-Skulpturen aus Recyclingmaterial.
Das Kind gestaltet ein Bild mit Frottagetechnik.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Oberflächenstruktur;Förderung von Materialerfahrung und Kreativität;4+ Jahre;Frottage mit Baumrinde, Strukturabdruck mit Münzen, Rubbelflächen erkunden.
Das Kind beteiligt sich begeistert an einer Klanggeschichte.;Ästhetik und Gestaltung;Musik;Klanginterpretation;Förderung des Hörens und musikalischen Mitgestaltens;3+ Jahre;Geräuschreise, Musikalische Geschichte mit Orff-Instrumenten, Klangmemory.
Das Kind faltet aus Papier Tiere und zeigt sie stolz.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Origami;Förderung von Konzentration und Gestaltungsfreude;5+ Jahre;Papierfalten lernen, Origami-Zoo, Faltgeschichte.
Das Kind beobachtet, wie Farben im Wasser verlaufen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Farberlebnis;Förderung ästhetischer Neugier und Experimentiervielfalt;3+ Jahre;Aquarellfarben ausprobieren, Nass-in-Nass-Technik, Farbspiel mit Pipetten.
Das Kind komponiert einfache Melodien auf dem Glockenspiel.;Ästhetik und Gestaltung;Musik;Eigenkomposition;Förderung von Tonbewusstsein und musikalischer Kreativität;5+ Jahre;Musikwerkstatt, Lied erfinden, Klangbausteine nutzen.
Das Kind baut ein Theater aus Schuhkartons.;Ästhetik und Gestaltung;Darstellendes Spiel;Bühnenbildgestaltung;Förderung von Szenengestaltung und künstlerischer Eigenständigkeit;4+ Jahre;Mini-Theater gestalten, Vorhang und Requisiten basteln, Spielaufführung.
Das Kind entdeckt Muster in Fenstergittern und Teppichen.;Ästhetik und Gestaltung;Wahrnehmung;Strukturbeobachtung;Förderung von Formenverständnis und ästhetischer Wahrnehmung;3+ Jahre;Musterdetektive, Architektur-Spaziergang, Muster-Memory.
Das Kind verziert ein Lebkuchenherz mit Zuckerschrift.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Lebensmittelgestaltung;Förderung von Gestaltungsfreude mit essbaren Materialien;4+ Jahre;Backwerkstatt, Verzieren mit Zuckerguss, „Süße Kunst“-Ausstellung.
Das Kind verfolgt mit Interesse eine Tanzaufführung anderer Kinder.;Ästhetik und Gestaltung;Tanz und Bewegung;Zuschaukompetenz;Förderung ästhetischer Rezeption und Aufmerksamkeit;3+ Jahre;Publikumsregeln besprechen, Feedbackrunde, Tanznacherzählung.
Das Kind zeichnet ein Selbstporträt im Spiegel.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Selbstwahrnehmung;Förderung der Selbstbeobachtung und Ausdruckskraft;5+ Jahre;Porträtzeichnen, Gesicht erkennen, Spiegelzeichnen mit Kohle.
Das Kind gestaltet eine Schatzkiste für persönliche Gegenstände.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Individuelle Gestaltung;Förderung von Identitätsentwicklung und Kreativität;4+ Jahre;Schatzkiste bemalen, Lieblingssachen ausstellen, Präsentation im Kreis.
Das Kind improvisiert mit Tüchern zur Musik.;Ästhetik und Gestaltung;Tanz und Bewegung;Materialerfahrung im Tanz;Förderung von Bewegungsfreiheit und Ausdruck;3+ Jahre;Tüchertanz, Musik und Farbe, Tanzspiel mit Requisiten.
Das Kind verwendet Perlen für ein eigenes Schmuckstück.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Feinmotorisches Gestalten;Förderung von Präzision und gestalterischem Ausdruck;5+ Jahre;Ketten fädeln, Namensarmbänder, Farbenreihen gestalten.
Das Kind beobachtet Schattenspiele auf einer Leinwand.;Ästhetik und Gestaltung;Raumgestaltung;Schattenkunst;Förderung der Lichtwahrnehmung und ästhetischer Gestaltungsideen;4+ Jahre;Schattenfiguren basteln, Theater mit Taschenlampe, Tageslichtspiele.
Das Kind gestaltet ein Fensterbild mit Transparentpapier.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Lichtgestaltung;Förderung von Farbwirkung und Raumgestaltung;4+ Jahre;Fenstermosaik, Sonnenfänger basteln, Jahreszeitenfenster.
Das Kind kombiniert Musik mit Bewegung und Reimen.;Ästhetik und Gestaltung;Musik;Bewegungslieder;Förderung musikalischer und sprachlicher Ausdrucksfähigkeit;3+ Jahre;Mitmachlieder, Reim- und Tanzrunden, Rhythmus-Spaß.
Das Kind stellt ein eigenes Bilderbuch her.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Erzählgestaltung;Förderung von Fantasie und gestalterischer Planung;5+ Jahre;Bilderbuchprojekt, eigene Geschichten malen, Heften und binden.
Das Kind entwirft ein Symbol für seine Gruppe.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Symbolgestaltung;Förderung von Identifikation und gestalterischem Denken;5+ Jahre;Wappen entwerfen, Gruppenlogo gestalten, Banner malen.
Das Kind bemalt einen Stein und legt ihn als Botschaft aus.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Street-Art für Kinder;Förderung des kreativen Ausdrucks im öffentlichen Raum;4+ Jahre;Steinbotschaften, Farbspaziergänge, Kunst im Park.
Das Kind ordnet Musikinstrumente nach Klangfarbe.;Ästhetik und Gestaltung;Musik;Klangdifferenzierung;Förderung der auditiven Wahrnehmung und Klassifikation;5+ Jahre;Klangsortierspiele, Hörmemory, „Finde das Instrument“.
Das Kind entdeckt Spiegelungen in Pfützen und Fenstern.;Ästhetik und Gestaltung;Wahrnehmung;Licht und Reflexion;Förderung von ästhetischer Naturbeobachtung;4+ Jahre;Spiegelfotografie, Reflexionsexperimente, „Was siehst du im Wasser?“
