Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind klettert selbstständig auf eine Kletterwand;Bewegung und Gesundheit;Bewegung;Grobmotorik, Kraft;Förderung der Muskelkraft und Koordination;4+ Jahre;Klettergerüst, Kletterwand im Park besuchen, Kletterwettbewerb veranstalten
Das Kind balanciert auf einer umgedrehten Bank;Bewegung und Gesundheit;Bewegung;Gleichgewichtssinn;Förderung der Körperspannung und des Gleichgewichts;3+ Jahre;Balancierparcours, Slackline, „Über die Brücke“ (Spiel mit Seilen und Stangen)
Das Kind schaukelt sich selbstständig an und kann sich dabei gut festhalten;Bewegung und Gesundheit;Bewegung;Grobmotorik, Koordination;Förderung der Körperkontrolle und Muskelkraft;2+ Jahre;Schaukelwettbewerb, Schaukelspiele (z. B. „Wie hoch kannst du schwingen?“), gemeinsam schaukeln
Das Kind liebt es, auf Bäume zu klettern;Bewegung und Gesundheit;Bewegung;Motorische Geschicklichkeit;Förderung der Körperkontrolle und Kraft;4+ Jahre;Kletterbäume im Park besuchen, Kletterwand im Innenraum, Klettergarten-Ausflug
Das Kind macht Purzelbäume auf der Wiese;Bewegung und Gesundheit;Bewegung;Körperkoordination;Förderung der Beweglichkeit und Körperkontrolle;3+ Jahre;Turnmatten-Rollen, Purzelbaum-Wettbewerb, Hindernisparcours mit Purzelbäumen
Das Kind hüpft einbeinig über Steine;Bewegung und Gesundheit;Bewegung;Gleichgewicht und Koordination;Verbesserung der einbeinigen Balance und Körperkontrolle;3+ Jahre;Gummitwist, Hüpfspiele (Himmel und Hölle), Seilspringen
Das Kind versucht, rückwärts zu laufen;Bewegung und Gesundheit;Bewegung;Orientierung im Raum;Förderung der Körperwahrnehmung und Koordination;4+ Jahre;Fangspiele mit rückwärts Laufen, „Rückwärts-Tanz“, Spiegel-Lauf (nachmachen, was der Partner tut)
Das Kind rennt um die Wette mit anderen Kindern;Bewegung und Gesundheit;Bewegung;Ausdauer;Förderung von Schnelligkeit und Kondition;3+ Jahre;Wettrennen im Garten, Staffellauf, „Fang den Ball“
Das Kind zeigt Freude am Springen über Pfützen;Bewegung und Gesundheit;Bewegung;Sprungkraft;Förderung der Sprungkoordination und Balance;3+ Jahre;Gummistiefel-Wettspringen, Hüpfekästchen, Trampolinspringen
Das Kind benennt seine Gefühle und kann sie in verschiedenen Situationen zuordnen.;Soziales und kulturelles Leben;Soziale Kompetenz;Gefühlswahrnehmung;Förderung der emotionalen Kompetenz und der Fähigkeit, Gefühle zu benennen und auszudrücken;3+;Gesprächskreise, in denen Gefühle thematisiert werden
Das Kind äußert seine Bedürfnisse klar und deutlich und kann diese auch begründen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Selbstbehauptung;Förderung der Selbstbehauptung und der Fähigkeit, eigene Bedürfnisse auszudrücken;4+;Rollenspiele, in denen das Kind seine Wünsche äußert
Das Kind zeigt Stolz auf seine eigenen Leistungen und kann diese auch anderen präsentieren.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Selbstwertgefühl;Stärkung des Selbstwertgefühls und der Selbstwirksamkeit;4+;Präsentationen, in denen das Kind seine Arbeiten vorstellt
Das Kind vermeidet Blickkontakt und wirkt unsicher im Umgang mit anderen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Soziale Interaktion;Förderung des sozialen Kontakts und des Selbstvertrauens;3+ Jahre;Gemeinsame Spiele, Partnerübungen, Rollenspiele mit klaren Vorgaben
Das Kind zeigt wenig Interesse an gemeinsamen Aktivitäten und spielt lieber alleine.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Gemeinschaftsfähigkeit;Förderung der Integration und des Gemeinschaftsgefühls;4+ Jahre;Gemeinschaftsprojekte, Gruppenpuzzle, Partneraufgaben, Kreisspiele
Das Kind reagiert aggressiv auf Konflikte und hat Schwierigkeiten, Kompromisse zu finden.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Konfliktbewältigung;Förderung der Konfliktfähigkeit und der Empathie;5+ Jahre;Rollenspiele mit Konfliktsituationen, Gesprächsrunden, Friedensspiele, Mediation
Das Kind zeigt wenig Empathie und hat Schwierigkeiten, sich in andere hineinzuversetzen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Empathie;Förderung des Einfühlungsvermögens und der Rücksichtnahme;4+ Jahre;Rollenspiele mit Perspektivwechsel, Geschichten erzählen, Gefühle-Karten spielen, Bilderbücher vorlesen
Das Kind hat Schwierigkeiten, Gefühle zu benennen und auszudrücken.;Emotionen und soziale Beziehungen;Emotionale Kompetenz;Emotionsregulation;Förderung der emotionalen Kompetenz und der Selbstwahrnehmung;3+ Jahre;Gefühle-Karten spielen, Bilderbücher über Gefühle vorlesen, Rollenspiele mit Gefühlen, Gesprächsrunden
Das Kind zieht sich bei neuen Situationen zurück und wirkt ängstlich.;Emotionen und soziale Beziehungen;Emotionale Kompetenz;Selbstvertrauen;Förderung des Selbstvertrauens und der Selbstständigkeit;4+ Jahre;Mutproben, Erfolgserlebnisse schaffen, positive Rückmeldungen geben, Rollenspiele mit Erfolgsszenarien
Das Kind hat Schwierigkeiten, Regeln einzuhalten und wirkt ungeduldig.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Regelverständnis;Förderung des Regelverständnisses und der Selbstkontrolle;5+ Jahre;Regelspiele, Gesprächsrunden über Regeln, Konsequenzen aufzeigen, Vorbild sein
Das Kind ärgert sich darüber, dass es im Morgenkreis nur einmal dran gekommen ist.;Ethik und Gesellschaft;Ethik;Gerechtigkeitsverständnis, Rücksicht;Das Kind entwickelt ein Verständnis für Fairness und soziale Regeln, indem es lernt, dass jeder in der Gruppe gleichermaßen berücksichtigt wird und sich abwechseln darf.;4+;Kinderparlament, Abstimmungen, Begrüßungslieder, Rollenspiele zur Fairness.
Das Kind hilft einem jüngeren Kind, das beim Anziehen Schwierigkeiten hat.;Ethik und Gesellschaft;Gesellschaft;Hilfsbereitschaft, Empathie;Das Kind lernt, anderen zu helfen und Unterstützung anzubieten.;3+;Helfer des Tages bestimmen, „Wir helfen uns“-Spiel, Partnerübungen.
Das Kind nimmt einem anderen Kind ein Spielzeug weg.;Ethik und Gesellschaft;Ethik;Konfliktlösung;Das Kind lernt, Streit friedlich zu lösen und Alternativen zu finden.;3+;Stopp-Regel üben, Bilderbuch „Der kleine Streit“, Konfliktschulung durch Handpuppen.
Das Kind bemerkt, dass ein anderes Kind traurig ist, und fragt nach dem Grund.;Ethik und Gesellschaft;Gesellschaft;Emotionale Kompetenz;Das Kind entwickelt Mitgefühl und Verständnis für die Gefühle anderer.;4+;Emotionskarten nutzen, Gefühlsgeschichten erzählen, Rollenspiele zur Empathie.
Das Kind beschwert sich, dass ein anderes Kind geschummelt hat.;Ethik und Gesellschaft;Ethik;Ehrlichkeit, Fairplay;Das Kind lernt, warum Ehrlichkeit wichtig ist und wie man Konflikte anspricht.;4+;Brettspiele mit Fairnessregeln, Geschichten über Ehrlichkeit, „Was wäre, wenn?“-Fragen diskutieren.
Das Kind lacht über ein anderes Kind, das sich versprochen hat.;Ethik und Gesellschaft;Ethik;Respekt;Das Kind lernt, dass alle Fehler machen dürfen und niemand ausgelacht wird.;4+;Fehlergeschichten, „Wie fühlt sich das an?“-Spiel, Rollenspiele zu Respekt.
Das Kind will immer als Erstes etwas erzählen.;Ethik und Gesellschaft;Gesellschaft;Zuhören und Geduld;Das Kind lernt, Gesprächsregeln einzuhalten und anderen zuzuhören.;4+;Redestein nutzen, Stille-Übungen, Partnergespräche mit Zuhör-Regel.
Das Kind schimpft über einen Spielkameraden, weil dieser nicht teilt.;Ethik und Gesellschaft;Ethik;Teilen;Das Kind versteht, warum Teilen wichtig ist und wie man gemeinsam spielt.;3+;Teilen üben mit Gruppenspielen, Vorlesegeschichte „Das geteilte Stück Kuchen“, Kooperationsspiele.
Das Kind zieht ein anderes Kind grob vom Klettergerüst herunter.;Ethik und Gesellschaft;Ethik;Körperliche Grenzen;Das Kind lernt, die Grenzen anderer zu respektieren.;3+;Stopp-Regel üben, Körperwahrnehmungsspiele, Bilderbuch „Meine Grenzen, deine Grenzen“.
Das Kind sagt, dass jemand „komisch spricht“ und lacht darüber.;Ethik und Gesellschaft;Gesellschaft;Vielfalt und Akzeptanz;Das Kind versteht, dass Menschen unterschiedlich sind und jeder respektiert wird.;4+;Geschichten über Vielfalt, „Jedes Kind ist anders“-Lied, Interkultureller Tag.
Das Kind zeigt Interesse an Mülltrennung und fragt, warum das wichtig ist.;Ethik und Gesellschaft;Ethik;Umweltbewusstsein;Das Kind versteht, warum Nachhaltigkeit wichtig ist.;4+;Mülltrennspiel, Upcycling-Basteln, Müllsammelaktion im Park.
Das Kind malt ein Bild mit vielen Farben und Formen.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Bildnerisches Gestalten;Bildnerisches Gestalten;Förderung der Kreativität und des Ausdrucks;3+ Jahre;Freies Malen mit verschiedenen Materialien, Farbexperimente, Malen nach Musik, Gestalten von Mandalas, Ausstellungen besuchen.
Das Kind singt ein Lied und erfindet eigene Strophen.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Musik;Musikalische Früherziehung;Förderung der musikalischen Kreativität und des Rhythmusgefühls;4+ Jahre;Singen von Liedern, Instrumente ausprobieren, eigene Lieder erfinden, Musik-Memory, Tanzspiele.
Das Kind spielt eine Szene aus einem Märchen nach.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Theaterspiel;Rollenspiel;Förderung der Fantasie und des sozialen Miteinanders;5+ Jahre;"Märchen nachspielen, Handpuppen-Theater, Verkleiden, Improvisationstheater, Schattentheater, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind formt Figuren aus Ton oder Knete.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Kunst;Plastisches Gestalten;Förderung der Feinmotorik und des räumlichen Denkens;3+ Jahre;Arbeiten mit Ton, Knete, Salzteig, Modellieren nach Vorlage, freies Gestalten, Töpfern.
Das Kind tanzt zu Musik und erfindet eigene Bewegungen.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Musik;Bewegung und Tanz;Förderung des Körpergefühls und der Koordination;4+ Jahre;Freies Tanzen, Tanzspiele, Choreografien nachahmen, Tanzen mit Tüchern, Bewegungslieder.
Das Kind gestaltet ein Bühnenbild für ein Theaterstück.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Theaterspiel;Bühnenbildgestaltung;Förderung der Kreativität und des räumlichen Vorstellungsvermögens;5+ Jahre;Bauen von Kulissen, Malen von Hintergründen, Gestalten mit verschiedenen Materialien, Licht- und Schattenspiele.
Das Kind malt ein Selbstporträt.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Bildnerisches Gestalten;Selbstwahrnehmung;Förderung des Selbstbewusstseins und der Identitätsentwicklung;4+ Jahre;Spiegelspiele, Fotos anschauen, über sich selbst sprechen, Malen nach Vorlage, freies Gestalten.
Das Kind spielt ein Instrument und lernt Noten kennen.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Musik;Instrumentenkunde;Förderung der musikalischen Fähigkeiten und des Notenverständnisses;5+ Jahre;Instrumente ausprobieren, Noten lesen lernen, einfache Lieder spielen, Musikspiele, Konzerte besuchen.
Das Kind erfindet eine eigene Geschichte und spielt sie vor.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Theaterspiel;Erzählen und Darstellen;Förderung der Fantasie und der sprachlichen Fähigkeiten;5+ Jahre;"Geschichten erzählen, Rollenspiele, Improvisationstheater, Puppenspiele, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind gestaltet ein Mobile aus Naturmaterialien.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Kunst;Naturmaterialien;Förderung der Kreativität und des Umweltbewusstseins;4+ Jahre;Sammeln von Naturmaterialien, Gestalten mit Blättern, Steinen, Zweigen, Bauen von Mobiles, Land Art.
Das Kind singt im Chor und lernt mehrstimmige Lieder.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Musik;Chorisches Singen;Förderung des Gemeinschaftsgefühls und der musikalischen Fähigkeiten;5+ Jahre;Singen von Liedern, Kanons, mehrstimmigen Liedern, Musikspiele, Konzerte besuchen.
Das Kind spielt ein Rollenspiel und schlüpft in verschiedene Rollen.;Kunst, Bildnerisches Gestalten, Musik, Theaterspiel;Theaterspiel;Rollenspiel;Förderung der Empathie und des sozialen Miteinanders;5+ Jahre;"Rollenspiele, Improvisationstheater, Puppenspiele, Märchen nachspielen, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind beobachtet fasziniert Ameisen beim Bau ihres Hügels.;Natur und Technik;Natur;Biologische Prozesse;Förderung des Interesses an Naturphänomenen;4+ Jahre;"Ameisenhaufen beobachten, Insektenhotel bauen, Lupe zur Beobachtung nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit Wasser und verschiedenen Gefäßen.;Natur und Technik;Technik;Physikalische Grundlagen;Förderung des Verständnisses für physikalische Zusammenhänge;4+ Jahre;"Wasserbahn bauen, Schwimmversuche mit verschiedenen Materialien, Experimente mit Eis und Wärme, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind baut mit Begeisterung komplizierte Konstruktionen aus Legosteinen.;Natur und Technik;Technik;Konstruktionsfähigkeiten;Förderung der räumlichen Vorstellungskraft und der Konstruktionsfähigkeiten;5+ Jahre;"Baupläne lesen und umsetzen, eigene Baupläne entwerfen, Wettbewerb ""Höchster Turm"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt großes Interesse an Wetterphänomenen und fragt nach deren Ursachen.;Natur und Technik;Natur;Meteorologie;Förderung des Verständnisses für Wetterzusammenhänge;5+ Jahre;"Wetterstation bauen, Regenmesser aufstellen, Wolken beobachten und benennen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind untersucht mit einer Lupe verschiedene Pflanzen und Insekten.;Natur und Technik;Natur;Biologische Vielfalt;Förderung des Interesses an der Vielfalt der Natur;4+ Jahre;"Pflanzen bestimmen, Insekten fangen und beobachten, Mikroskop nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an technischen Geräten und fragt nach deren Funktionsweise.;Natur und Technik;Technik;Funktionsprinzipien;Förderung des Verständnisses für technische Zusammenhänge;5+ Jahre;"Geräte auseinandernehmen und wieder zusammensetzen, Modelle bauen, Besuch im Technikmuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Materialien und deren Eigenschaften.;Natur und Technik;Technik;Materialkunde;Förderung des Verständnisses für Materialeigenschaften;4+ Jahre;"Experimente mit Magneten, Experimente mit Säuren und Basen, Werkstatt nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an astronomischen Phänomenen und fragt nach Sternen und Planeten.;Natur und Technik;Natur;Astronomie;Förderung des Interesses an der Erforschung des Weltraums;6+ Jahre;"Sternbilder beobachten, Teleskop nutzen, Besuch im Planetarium, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Maschinen und Fahrzeuge.;Natur und Technik;Technik;Mechanik;Förderung des Verständnisses für mechanische Zusammenhänge;5+ Jahre;"Zahnradgetriebe bauen, Flaschenzüge konstruieren, Fahrzeuge mit Gummibandantrieb bauen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an chemischen Experimenten und fragt nach deren Ergebnissen.;Natur und Technik;Technik;Chemie;Förderung des Interesses an chemischen Prozessen;6+ Jahre;"Experimente mit Lebensmittelfarben, Experimente mit Backpulver, Experimente mit pH-Wert-Indikatoren, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind ahmt Tierlaute nach und zeigt Freude daran.;Sprache und Kommunikation ;Sprachentwicklung;Lautbildung;Förderung der Lautbildung und des Sprachverständnisses;1+;Gemeinsames Singen von Tierliedern, Bilderbücher mit Tierlauten
Das Kind dreht den Kopf zu Geräuschquellen und zeigt Interesse an Geräuschen.;Sprache und Kommunikation ;Sprachentwicklung;Zuhören;Förderung des Hörvermögens und der Aufmerksamkeit für Geräusche;1+;Rasseln, Glöckchen, Musikinstrumente
Das Kind nimmt Blickkontakt zu Bezugspersonen auf und lächelt.;Sprache und Kommunikation ;Sprachentwicklung;Kommunikation;Förderung der nonverbalen Kommunikation und der sozialen Interaktion;1+;Gemeinsames Spielen, Singen von Liedern mit Blickkontakt
Das Kind erzählt von einem Erlebnis in der Familie und verwendet dabei Mimik und Gestik.;Sprache und Kommunikation ;Sprachentwicklung;Erzählen;Förderung der Erzählfähigkeit und des nonverbalen Ausdrucks;3+;Gesprächskreise, in denen Kinder von ihren Erlebnissen erzählen
Das Kind zeigt Vorlieben für bestimmte Lieder oder Reime und möchte diese immer wieder hören.;Sprache und Kommunikation ;Sprachentwicklung;Vorlieben;Förderung des Sprachverständnisses und des Rhythmusgefühls;2+;Gemeinsames Singen von Lieblingsliedern, Vorlesen von Reimen
Das Kind spricht in verschiedenen Lautstärken und ahmt verschiedene Stimmen nach.;Sprache und Kommunikation ;Sprachentwicklung;Ausdruck;Förderung der stimmlichen Ausdrucksfähigkeit und der Kreativität;3+;Rollenspiele, in denen Kinder verschiedene Rollen übernehmen
Das Kind verwendet zunehmend komplexere Sätze und benennt Gegenstände mit korrekten Artikeln.;Sprache und Kommunikation ;Sprachentwicklung;Grammatik;Förderung der grammatikalischen Fähigkeiten und des Wortschatzes;4+;Bilderbücher, in denen Gegenstände benannt werden
"Das Kind benennt sich selbst mit Namen und verwendet das Pronomen ""ich"".";Sprache und Kommunikation ;Sprachentwicklung;Selbstwahrnehmung;Förderung der Selbstwahrnehmung und der sprachlichen Identitätsbildung;3+;Spiegelspiele, in denen Kinder sich selbst benennen
Das Kind stellt viele Fragen und zeigt Interesse an neuen Wörtern.;Sprache und Kommunikation ;Sprachentwicklung;Neugierde;Förderung der Neugierde und des Wortschatzes;4+;Ausflüge, bei denen neue Gegenstände und Situationen erlebt werden
Das Kind klatscht oder trommelt im Rhythmus von Liedern und Reimen.;Sprache und Kommunikation ;Sprachentwicklung;Rhythmus;Förderung des Rhythmusgefühls und der musikalischen Fähigkeiten;3+;Gemeinsames Singen und Tanzen, Musikinstrumente
Das Kind singt gerne und kennt viele Lieder.;Sprache und Kommunikation ;Sprachentwicklung;Musikalität;Förderung der musikalischen Fähigkeiten und der Freude am Singen;3+;Gemeinsames Singen von Liedern, Musikinstrumente
Das Kind hört gerne Geschichten und kann diese nacherzählen.;Sprache und Kommunikation ;Sprachentwicklung;Zuhören;Förderung des Hörverständnisses und der Erzählfähigkeit;4+;Vorlesen von Geschichten, Erzählrunden
Das Kind äußert seine Gedanken und Wünsche in Einzelgesprächen mit Erwachsenen.;Sprache und Kommunikation ;Sprachentwicklung;Gesprächsfähigkeit;Förderung der Gesprächsfähigkeit und der Fähigkeit, sich auszudrücken;4+;Einzelgespräche, in denen Kinder über ihre Interessen sprechen
Das Kind ahmt die Sprache von Erwachsenen nach und verwendet dabei korrekte Satzstrukturen.;Sprache und Kommunikation ;Sprachentwicklung;Sprachvorbild;Förderung der sprachlichen Fähigkeiten durch Nachahmung;4+;Gemeinsame Aktivitäten, bei denen Kinder die Sprache von Erwachsenen beobachten und nachahmen
